LSHM,' USHM',' Momento1',' Momento2',' Momento3',' Momento4',' Cumulante1',' Cumulante2',' Cumulante3',' Cumulante4',' Cumulante6',' Skewness',' Kurtosis',' Axm',' Xp',' xr',' FactorCresta',' FactorForma',' Condition'
0.284582,0.330771,0.088457,0.016405,0.96259,0.23022,0.088457,0.01378,0.695162,0.758199,0.931518,0.747449,0.965305,0.769179,0.752978,0.765325,0.965195,0.985381,' R1'
0.094112,0.659079,0.086001,0.562855,0.973709,0.173057,0.086001,0.561688,0.723246,0.813648,0.926259,0.74841,0.964373,0.742728,0.726027,0.738291,0.963025,0.986073,' R1'
0.525407,0.480965,0.088688,0.486763,0.966621,0.076048,0.088688,0.485393,0.697093,0.913895,0.002999,0.747917,0.972401,0.687011,0.671804,0.679513,0.958683,0.990616,' R1'
0.013617,0.109022,0.081961,0.834697,0.975928,0.636333,0.081961,0.834255,0.774809,0.358215,0.925027,0.748051,0.964588,0.907958,0.882232,0.903218,0.958032,0.985776,' R1'
0.351302,0.200347,0.085327,0.697281,0.962971,0.380493,0.085327,0.696473,0.722227,0.608561,0.921946,0.747447,0.963513,0.828113,0.801004,0.823327,0.953184,0.986073,' R1'
0.137945,0.112851,0.086794,0.642056,0.963698,0.289965,0.086794,0.641101,0.709388,0.697432,0.919974,0.747516,0.963154,0.012287,0.765132,0.788332,0.949349,0.986567,' R1'
0.385867,0.32078,0.086417,0.565369,0.972993,0.176129,0.086417,0.564208,0.719748,0.809763,0.914304,0.748342,0.963297,0.742952,0.713046,0.736737,0.94356,0.988048,' R1'
0.535712,0.527029,0.087046,0.519335,0.967483,0.11554,0.087046,0.518052,0.708529,0.87216,0.921453,0.747947,0.96724,0.710781,0.681126,0.703878,0.94081,0.989332,' R1'
0.312773,0.389875,0.092019,0.840378,0.951587,0.646864,0.092019,0.839952,0.650423,0.346032,0.001438,0.746862,0.963513,0.91037,0.877958,0.904383,0.949855,0.986665,' R1'
0.395481,0.366565,0.091313,0.77614,0.960268,0.521451,0.091313,0.775542,0.668068,0.469509,0.920056,0.487757,0.963441,0.874268,0.844409,0.868806,0.951447,0.000593,' R1'
0.320594,0.006481,1,0.702383,0.968551,0.390198,1,0.701588,0.695257,0.600971,0.924821,0.747795,0.965161,0.830571,0.80461,0.825171,0.953907,0.986764,' R1'
